Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume
2022-05-17,3.23e-05,3.64e-05,3.06e-05,3.23e-05,511890.57,1652831999999000000,17.0039752,4346,240216.64,7.98138911
2022-05-18,3.22e-05,3.27e-05,2.86e-05,2.87e-05,388751.04,1652918399999000000,11.74755583,3879,181150.78,5.48800603
2022-05-19,2.88e-05,3.12e-05,2.83e-05,3.06e-05,237389.27,1653004799999000000,7.0245951,3277,136179.8,4.04603199
2022-05-20,3.05e-05,3.11e-05,2.96e-05,3e-05,237086.04,1653091199999000000,7.16457163,2341,103192.09,3.13139667
2022-05-21,2.99e-05,3.15e-05,2.95e-05,3.05e-05,93719.55,1653177599999000000,2.84852181,935,47485.95,1.45107523
2022-05-22,3.05e-05,3.13e-05,2.91e-05,2.97e-05,153013.7,1653263999999000000,4.60744491,1811,62467.36,1.88366451
2022-05-23,2.95e-05,3.14e-05,2.91e-05,2.95e-05,237926.43,1653350399999000000,7.19402429,2302,101437.08,3.07462425
2022-05-24,2.95e-05,3.09e-05,2.88e-05,3.09e-05,171376.77,1653436799999000000,5.10411136,2551,104791.51,3.13546901
2022-05-25,3.09e-05,3.11e-05,2.92e-05,2.93e-05,128333.05,1653523199999000000,3.84955975,2230,53571.39,1.60990495
2022-05-26,2.94e-05,2.96e-05,2.53e-05,2.55e-05,262241.1,1653609599999000000,7.2214639,3031,100917.38,2.7901407
2022-05-27,2.55e-05,2.62e-05,2.38e-05,2.42e-05,270136.64,1653695999999000000,6.70761834,1904,104987.2,2.62019776
2022-05-28,2.44e-05,2.51e-05,2.4e-05,2.46e-05,156895.23,1653782399999000000,3.88620367,984,76935.14,1.90322671
2022-05-29,2.45e-05,2.48e-05,2.35e-05,2.43e-05,120333.75,1653868799999000000,2.90554654,647,55818.39,1.34981143
2022-05-30,2.42e-05,2.81e-05,2.42e-05,2.64e-05,455757.02,1653955199999000000,11.85050999,2430,243007.51,6.33441862
2022-05-31,2.64e-05,2.89e-05,2.5e-05,2.68e-05,758251.3,1654041599999000000,20.68225441,3616,381847.77,10.43921748
2022-06-01,2.68e-05,2.7e-05,2.45e-05,2.5e-05,421848.43,1654127999999000000,10.96541541,1471,162018.91,4.21958944
2022-06-02,2.5e-05,2.53e-05,2.43e-05,2.53e-05,93066.41,1654214399999000000,2.31010944,550,51614.33,1.28412298
2022-06-03,2.53e-05,2.53e-05,2.37e-05,2.4e-05,147117.14,1654300799999000000,3.60260475,646,69918.96,1.71815625
2022-06-04,2.42e-05,2.45e-05,2.34e-05,2.42e-05,53214.37,1654387199999000000,1.27986482,378,28795.26,0.69567786
2022-06-05,2.43e-05,2.43e-05,2.29e-05,2.4e-05,117630.76,1654473599999000000,2.77862018,456,45046.37,1.06659179
2022-06-06,2.39e-05,2.57e-05,2.18e-05,2.26e-05,276265.16,1654559999999000000,6.41106005,1084,148648.36,3.45535164
2022-06-07,2.25e-05,2.39e-05,2.19e-05,2.27e-05,268265.94,1654646399999000000,6.11525533,1021,137462.1,3.14456993
2022-06-08,2.26e-05,2.33e-05,2.25e-05,2.27e-05,104245.6,1654732799999000000,2.38440343,488,35160.01,0.80492221
2022-06-09,2.26e-05,2.34e-05,2.22e-05,2.3e-05,115749.28,1654819199999000000,2.65178105,504,60102.41,1.38211707
2022-06-10,2.31e-05,2.36e-05,2.09e-05,2.12e-05,282858.55,1654905599999000000,6.21101142,1104,124428.68,2.75173244
2022-06-11,2.13e-05,2.16e-05,1.94e-05,1.98e-05,208052.29,1654991999999000000,4.19827727,1067,100108.67,2.02264591
2022-06-12,1.97e-05,2.05e-05,1.82e-05,1.91e-05,416865.4,1655078399999000000,8.04011174,1634,192752.27,3.73737311
2022-06-13,1.91e-05,2.09e-05,1.48e-05,1.79e-05,1706111.46,1655164799999000000,29.09409386,5264,804566.56,13.87895182
